X,Y
30.537824,50.491216
30.575648,50.3957376
30.575648,50.3955008
30.363472,50.524592
30.7194528,50.3993024
30.2951008,50.4512736
30.5451008,50.4934784
30.3329248,50.53048
30.5829248,50.3951136
30.6207488,50.396416
30.4767296,50.3566688
30.5145536,50.4886944
30.5523776,50.3825568
30.5523776,50.3490144
30.5902016,50.3947744
30.4840064,50.5464096
30.4840064,50.5238944
30.4840064,50.5310016
30.4840064,50.5306688
30.5218304,50.4082912
30.3096544,50.4522848
30.5596544,50.3320992
30.5974784,50.3943584
30.4609504,50.4521472
30.4609504,50.3719648
30.5291072,50.4888352
30.5291072,50.4888224
30.3169312,50.4528672
30.5669312,50.3159712
30.5669312,50.4071648
30.5669312,50.3161856
30.5669312,50.4071456
30.3925792,50.4577056
30.4682272,50.4645952
30.5060512,50.4076512
30.324208,50.453328
30.574208,50.495456
30.362032,50.4312416
30.3314848,50.4537664
30.5814848,50.4272128
30.3693088,50.42224
30.4449568,50.4528192
30.4827808,50.547952
30.3765856,50.456784
30.4144096,50.514048
30.4522336,50.3659744
30.7022336,50.4013888
30.5278816,50.4883904
30.5657056,50.4956448
30.5657056,50.4956832
30.4595104,50.4523744
30.4595104,50.4818848
30.4973344,50.3498528
30.5729824,50.4955904
30.5729824,50.4247136
30.4289632,50.4267776
30.4289632,50.476672
30.5046112,50.3433216
30.5424352,50.4927744
30.5424352,50.4928128
30.3680832,50.456224
30.6180832,50.3959584
30.4059072,50.4915136
30.4059072,50.497152
30.4059072,50.4882368
30.4059072,50.4992224
30.4059072,50.5021664
30.4059072,50.50016
30.4059072,50.5021984
30.4059072,50.4848128
30.4059072,50.50168
30.4059072,50.4976992
30.4059072,50.4997376
30.4059072,50.4999072
30.4059072,50.4933056
30.4059072,50.491744
30.4059072,50.4962336
30.4059072,50.4922208
30.4059072,50.498288
30.4059072,50.500464
30.4059072,50.4999136
30.4059072,50.4951808
30.4059072,50.501968
30.4059072,50.498384
30.4059072,50.4994592
30.4059072,50.4993216
30.4059072,50.4996288
30.4059072,50.502128
30.549712,50.3604576
30.549712,50.373344
30.549712,50.3581184
30.549712,50.3678816
30.549712,50.357808
30.549712,50.3605888
30.337536,50.4542112
30.37536,50.4947968
30.5569888,50.393376
30.5569888,50.3943168
30.3448128,50.4546816
30.5948128,50.45112
30.5948128,50.4313344
30.6704608,50.472016
30.4582848,50.4718432
30.5642656,50.495472
30.3215424,50.4531488
30.5715424,50.4956064
30.5715424,50.4954336
30.3593664,50.4374464
30.4728384,50.5575488
30.7228384,50.3992128
30.5484864,50.4939808
30.5484864,50.49384
30.5484864,50.4017248
30.4422912,50.4457824
30.4801152,50.5502176
30.5179392,50.488304
30.62392,50.4251968
30.5935872,50.394832
30.487392,50.4891104
30.487392,50.4892032
30.525216,50.4880896
30.525216,50.466048
30.600864,50.4337504
30.4190208,50.4133888
30.4946688,50.4078688
30.5324928,50.4734624
30.5324928,50.4895968
30.5703168,50.4167872
30.5703168,50.4163904
30.5703168,50.472832
30.5703168,50.4158944
30.5703168,50.4168544
30.3959648,50.4692128
30.5397696,50.4918336
30.5397696,50.4917984
30.3654176,50.4559264
30.6154176,50.481872
30.5092224,50.4888448
30.5848704,50.4280448
30.3726944,50.4565024
30.5164992,50.4884832
30.5543232,50.4945472
30.5543232,50.3878176
30.5543232,50.4947136
30.5543232,50.3877152
30.5921472,50.3946848
30.5921472,50.3949216
30.6299712,50.450048
30.4556192,50.4973632
30.599424,50.4662816
30.599424,50.3943104
30.425072,50.4768768
30.50072,50.3458912
30.6067008,50.4362176
30.4323488,50.4771232
30.5458208,50.4934144
30.5458208,50.4934912
30.3639776,50.5057728
30.3639776,50.5064416
30.4774496,50.5071328
30.5530976,50.3845824
30.5530976,50.343056
30.5530976,50.4011072
30.5530976,50.3845856
30.5530976,50.3437536
30.4090784,50.4590048
30.4469024,50.4704448
30.4469024,50.4683616
30.4847264,50.4890048
30.4847264,50.5367744
30.4847264,50.544944
30.4847264,50.5343136
30.4847264,50.536368
30.4847264,50.5344096
30.4847264,50.5455328
30.4847264,50.5345536
30.4847264,50.536704
30.7347264,50.3979328
30.5603744,50.3999872
30.3481984,50.459744
30.5981984,50.4325824
30.4541792,50.434192
30.4920032,50.4892096
30.5298272,50.4710592
30.5676512,50.4081856
30.3932992,50.4577984
30.362752,50.5121088
30.362752,50.511296
30.650576,50.4010048
30.5443808,50.4931232
30.5822048,50.3951904
30.4456768,50.4544704
30.4835008,50.5054656
30.4835008,50.4125344
30.5516576,50.3804864
30.5516576,50.4942272
30.5516576,50.4943616
30.6273056,50.4649248
30.4151296,50.5141248
30.4529536,50.4534368
30.4907776,50.4892416
30.3845824,50.497584
